Title,Publisher,Developer,Other Sales,Release Date,Last Update,Year
Call of Duty: Black Ops 3,Activision,Treyarch,410000,2015-11-06,2018-01-14,2015.0
Red Dead Redemption 2Read the review,Rockstar Games,Rockstar Games,210000,2018-10-26,2018-11-02,2018.0
Call of Duty: WWIIRead the review,Activision,Sledgehammer Games,400000,2017-11-03,2017-12-31,2017.0
FIFA 18,EA Sports,EA Vancouver,150000,2017-09-29,2018-04-02,2017.0
FIFA 17,Electronic Arts,EA Canada,120000,2016-09-27,2018-03-28,2016.0
Call of Duty: Black Ops IIII,Activision,Treyarch,500000,2018-10-12,2018-11-07,2018.0
FIFA 19,Electronic Arts,EA Sports,100000,2018-09-28,2018-09-12,2018.0
Call of Duty: Infinite Warfare,Activision,Infinity Ward,190000,2016-11-04,2018-01-14,2016.0
Fallout 4,Bethesda Softworks,Bethesda Game Studios,270000,2015-11-10,2018-03-24,2015.0
FIFA 16,EA Sports,EA Canada,70000,2015-09-22,2018-04-01,2015.0
Star Wars Battlefront (2015)Read the review,Electronic Arts,EA DICE,230000,2015-11-17,2018-03-24,2015.0
Call of Duty: Black Ops 3,Activision,Treyarch,20000,2015-11-06,2018-01-14,2015.0
Battlefield 1,Electronic Arts,EA DICE,290000,2016-10-21,2018-03-24,2016.0
Battlefield 1,Electronic Arts,EA DICE,20000,2016-10-21,2018-03-24,2016.0
Final Fantasy XV,Square Enix,Square Enix,1050000,2016-11-29,2018-05-04,2016.0
Fallout 4,Bethesda Softworks,Bethesda Game Studios,20000,2015-11-10,2018-03-24,2015.0
Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,70000,2017-06-30,2018-09-23,2017.0
Overwatch,Blizzard Entertainment,Blizzard Entertainment,170000,2016-05-24,2018-03-24,2016.0
Star Wars Battlefront II (2017),Electronic Arts,EA DICE,120000,2017-11-17,2017-12-29,2017.0
Tom Clancy's The Division,Ubisoft,Massive Entertainment,160000,2016-03-08,2018-05-04,2016.0
Tom Clancy's Rainbow Six: Siege,Ubisoft,Ubisoft Montreal,360000,2015-12-01,2024-02-02,2015.0
Star Wars Battlefront (2015),Electronic Arts,EA DICE,20000,2015-11-17,2018-03-24,2015.0
Destiny 2,Activision,Bungie,100000,2017-09-06,2018-04-20,2017.0
Batman: Arkham Knight,Warner Bros. Interactive,Rocksteady Studios,110000,2015-06-23,2018-01-04,2015.0
Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,110000,2017-10-27,2018-01-10,2017.0
NBA 2K16,2K Sports,Visual Concepts,50000,2015-09-29,2018-03-28,2015.0
Far Cry 5,Ubisoft,Ubisoft,150000,2018-03-27,2018-02-28,2018.0
Assassin's Creed Syndicate,Ubisoft,Ubisoft Quebec,80000,2015-10-23,2018-05-04,2015.0
NBA 2K17,2K Sports,Visual Concepts,30000,2016-09-16,2018-03-28,2016.0
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,Bethesda Softworks,80000,2016-10-28,2018-04-01,2016.0
NBA 2K18,2K Sports,Visual Concepts,40000,2017-09-19,2018-04-02,2017.0
Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,90000,2018-10-05,2018-11-17,2018.0
Tom Clancy's Ghost Recon Wildlands,Ubisoft,Ubisoft Paris,220000,2017-03-07,2018-04-01,2017.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,500000,2015-09-01,2018-05-04,2015.0
Mafia III,2K Games,Hangar 13,40000,2016-10-07,2018-04-02,2016.0
Far Cry: Primal,Ubisoft,Ubisoft Montreal,70000,2016-02-23,2018-04-03,2016.0
Need for Speed (2015),Electronic Arts,Ghost Games,60000,2015-11-03,2018-04-03,2015.0
NBA 2K19,2K Sports,Visual Concepts,30000,2018-09-11,2018-09-26,2018.0
FIFA 16,EA Sports,EA Canada,50000,2015-09-22,2018-04-01,2015.0
Dying LightRead the review,Warner Bros. Interactive,Techland,130000,2015-01-27,2018-05-04,2015.0
No Man's Sky,Hello Games,Hello Games,40000,2016-08-09,2018-04-04,2016.0
Battlefield VRead the review,Electronic Arts,EA DICE,160000,2018-11-20,2018-12-19,2018.0
Need for Speed: Payback,Electronic Arts,Ghost Games,40000,2017-11-10,2018-04-04,2017.0
Destiny: The Taken King,Activision,Bungie,50000,2015-09-15,2018-04-20,2015.0
PlayStation VR Worlds,Sony Interactive Entertainment,SIE London Studio,90000,2016-10-13,2018-04-06,2016.0
Battlefield: Hardline,Electronic Arts,EA DICE,140000,2015-03-17,2018-04-11,2015.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,50000,2016-10-11,2018-04-11,2016.0
Middle-Earth: Shadow of War,Warner Bros. Interactive Entertainment,Monolith Productions,60000,2017-10-10,2018-01-10,2017.0
Dragon Quest XI: Echoes of an Elusive Age,Square Enix,Square Enix,1430000,2018-09-04,2018-09-11,2018.0
Just Cause 3,Square Enix,Avalanche Studios,90000,2015-12-01,2018-04-04,2015.0
Dishonored 2,Bethesda Softworks,Arkane Studios,10000,2016-11-10,2018-04-25,2016.0
Call of Duty: Black Ops 3,Activision,Treyarch,70000,2015-11-06,2018-01-14,2015.0
Minecraft,Mojang,4J Studios,520000,2018-06-21,2019-01-26,2018.0
Forza Horizon 4,Microsoft Studios,Playground Games,10000,2018-10-02,2018-10-01,2018.0
Dragon Quest XI,Square Enix,Square Enix,1820000,2017-07-29,2018-01-05,2017.0
For Honor,Ubisoft,Ubisoft Montreal,70000,2017-02-14,2018-01-09,2017.0
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,60000,2018-09-14,2018-09-12,2018.0
Titanfall 2,Electronic Arts,Respawn Entertainment,60000,2016-10-28,2018-06-29,2016.0
Persona 5,Atlus,Atlus,480000,2017-04-04,2017-12-31,2017.0
The Order: 1886Read the review,Sony Computer Entertainment,Ready at Dawn,70000,2015-02-20,2018-01-02,2015.0
Forza Motorsport 7Read the review,Microsoft Studios,Turn 10 Studios,10000,2017-10-03,2018-01-12,2017.0
Minecraft,Mojang,4J Studios,380000,2016-06-17,2018-08-05,2016.0
Dying Light,Warner Bros. Interactive Entertainment,Techland,10000,2016-02-06,2018-05-04,2016.0
The Sims 4,Electronic Arts,Maxis,10000,2017-11-17,2017-12-29,2017.0
Street Fighter VRead the review,Capcom,Capcom,120000,2016-02-16,2018-01-08,2016.0
Wolfenstein II: The New ColossusRead the review,Bethesda Softworks,MachineGames,10000,2017-10-27,2018-05-10,2017.0
FIFA 17,Electronic Arts,EA Canada,40000,2016-09-27,2018-03-28,2016.0
Fallout 76Read the review,Bethesda Softworks,Bethesda Game Studios,100000,2018-11-14,2018-12-02,2018.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,20000,2016-06-28,2018-03-31,2016.0
The Last Guardian,Sony Interactive Entertainment,SIE Japan Studio,130000,2016-12-06,2018-04-04,2016.0
Dark Souls IIRead the review,Namco Bandai Games,From Software,410000,2015-04-07,2018-04-23,2015.0
Project CARSRead the review,Bandai Namco Games,Slightly Mad Studios,40000,2015-05-12,2018-01-05,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,10000,2015-03-17,2018-04-11,2015.0
Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,50000,2015-09-01,2018-01-05,2015.0
Shadow of the ColossusRead the review,Sony Interactive Entertainment,Bluepoint Games,50000,2018-02-06,2018-11-26,2018.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,20000,2015-06-12,2018-04-06,2015.0
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Softworks,60000,2017-11-17,2018-01-01,2017.0
Dragon Quest VIII: Journey of the Cursed King,Nintendo,Level 5 / Armor Project,880000,2017-01-20,2018-01-07,2017.0
Final Fantasy XV,Square Enix,Square Enix,10000,2016-11-29,2018-05-03,2016.0
The Elder Scrolls V: Skyrim VR,Bethesda Softworks,Bethesda Softworks,10000,2017-11-17,2018-09-11,2017.0
Crash Bandicoot N. Sane Trilogy,Activision,Toys for Bob,20000,2018-06-29,2018-11-07,2018.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,0,2017-11-14,2018-02-11,2017.0
FIFA 18,EA Sports,EA Vancouver,130000,2017-09-29,2018-04-02,2017.0
The Evil Within 2,Bethesda Softworks,Tango Gameworks,90000,2017-10-13,2018-05-10,2017.0
Prey (2017),Bethesda Softworks,Arkane Studios,20000,2017-05-05,2018-01-18,2017.0
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,10000,2016-01-26,2018-04-06,2016.0
EvolveRead the review,2K Games,Turtle Rock Studios,50000,2015-02-10,2018-05-10,2015.0
EA Sports UFC 3,EA Sports,EA Vancouver,10000,2018-02-02,2018-02-11,2018.0
Final Fantasy X / X-2 HD Remaster,Square Enix,Square Enix,70000,2015-05-12,2019-03-22,2015.0
Ni no Kuni II: Revenant Kingdom,Namco Bandai Games,Level 5,120000,2018-03-23,2018-02-28,2018.0
Super Bomberman R,Konami Digital Entertainment,HexaDrive,190000,2017-03-03,2018-03-24,2017.0
Paper Mario: Color Splash,Nintendo,Intelligent Systems,80000,2016-10-07,2018-03-31,2016.0
Mario Party: Star Rush,Nintendo,"Nd Cube Co., Ltd.",200000,2016-11-04,2018-11-19,2016.0
BioShock: The Collection,2K Games,"Blind Squirrel Digital, Inc",30000,2016-09-13,2018-04-26,2016.0
Farming Simulator 17,Focus Home Interactive,Giants Software,10000,2016-10-25,2018-04-06,2016.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,40000,2015-06-12,2018-04-06,2015.0
Xenoblade Chronicles X,Nintendo,Monolith Soft,150000,2015-12-04,2018-01-06,2015.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,20000,2015-09-01,2018-05-04,2015.0
The Crew 2,Ubisoft,Ivory Tower,50000,2018-06-29,2018-07-19,2018.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,140000,2015-09-15,2018-04-14,2015.0
Yokai Watch 3: Sukiyaki,Nintendo,Level 5,810000,2019-02-02,2018-09-09,2019.0
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Square Enix,Square Enix,390000,2015-10-13,2018-01-15,2015.0
Assassin's Creed The Ezio Collection,Ubisoft,Ubisoft,20000,2016-11-15,2018-01-14,2016.0
NBA 2K16,2K Sports,Visual Concepts,50000,2015-09-29,2018-03-28,2015.0
Destiny: The Collection,Activision,Bungie,20000,2016-09-19,2018-09-14,2016.0
F1 2016,Codemasters,Codemasters,30000,2017-01-01,2018-05-14,2017.0
Rare ReplayRead the review,Microsoft Studios,Rare Ltd.,10000,2015-08-04,2018-09-25,2015.0
Hitman,Square Enix,IO Interactive,60000,2017-01-31,2018-05-01,2017.0
Quantum Break,Microsoft Studios,Remedy Entertainment,20000,2016-04-05,2018-09-25,2016.0
Dark Souls II,Namco Bandai Games,From Software,10000,2015-04-07,2018-02-07,2015.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,10000,2017-04-04,2018-05-24,2017.0
Pro Evolution Soccer 2018,Konami Digital Entertainment,Konami Digital Entertainment,190000,2017-09-12,2018-04-24,2017.0
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,180000,2016-09-13,2018-04-14,2016.0
FIFA 19,Electronic Arts,EA Sports,60000,2018-09-28,2018-09-12,2018.0
Sonic Forces,Sega,Sonic Team,10000,2017-11-07,2018-02-11,2017.0
Monster Hunter Generations UltimateRead the review,Capcom,Capcom,270000,2018-08-28,2018-08-30,2018.0
Deus Ex: Mankind Divided,Square Enix,Eidos Montreal,10000,2016-08-23,2018-01-18,2016.0
Astro Bot Rescue Mission,Sony Interactive Entertainment,SIE Japan Studio,20000,2018-10-02,2018-09-17,2018.0
Mario & Sonic at the Rio 2016 Olympic Games,Nintendo,Arzest,280000,2016-03-18,2018-04-05,2016.0
Marvel vs. Capcom: InfiniteRead the review,Capcom,Capcom,40000,2017-09-19,2018-05-19,2017.0
Monster Hunter Stories,Capcom,Marvelous,390000,2017-09-08,2018-05-23,2017.0
Fortnite,Warner Bros. Interactive Entertainment,Epic Games,10000,2018-11-16,2018-06-18,2018.0
Mario Party: The Top 100,Nintendo,"Nd Cube Co., Ltd.",240000,2017-11-10,2020-08-04,2017.0
F1 2015,Codemasters,Codemasters Birmingham,40000,2015-07-21,2018-05-23,2015.0
Diablo III: Eternal CollectionRead the review,Blizzard Entertainment,Blizzard Entertainment,10000,2018-11-02,2018-09-13,2018.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,10000,2017-11-14,2018-02-11,2017.0
Dead or Alive 5,Tecmo Koei,Team Ninja,210000,2015-02-17,2018-01-23,2015.0
Dragon Quest Monsters Joker 3,Square Enix,TOSE,650000,2016-03-24,2018-01-07,2016.0
Yakuza Zero,Sega,Sega,190000,2017-01-24,2018-01-26,2017.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,30000,2017-04-04,2018-02-24,2017.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,90000,2016-05-31,2018-05-23,2016.0
Batman: Return to Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,10000,2016-10-18,2018-06-10,2016.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,Traveller's Tales,10000,2018-06-15,2018-11-06,2018.0
World of Final Fantasy,Square Enix,Square Enix,90000,2016-10-25,2018-05-23,2016.0
F1 2017,Deep Silver,Codemasters,20000,2017-08-25,2018-05-23,2017.0
Final Fantasy Explorers,Square Enix,Square Enix,290000,2016-01-26,2018-01-08,2016.0
Call of Duty: Modern Warfare Remastered,Activision,Infinity Ward,30000,2017-06-27,2018-01-14,2017.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,240000,2016-10-11,2018-01-11,2016.0
LEGO Worlds,Warner Bros. Interactive Entertainment,Traveller's Tales,0,2017-09-05,2018-02-25,2017.0
Kirby and the Rainbow Curse,Nintendo,HAL Laboratory,130000,2015-02-20,2018-03-20,2015.0
Disney Magic World 2,Nintendo,High Horse Entertainment,230000,2016-10-14,2018-01-08,2016.0
Yokai Sangokushi,Level 5,Level 5,570000,2016-04-02,2018-01-08,2016.0
Resident Evil: Revelations 2,Capcom,Capcom,110000,2015-02-24,2018-04-15,2015.0
Ultra Street Fighter II: The Final Challengers,Capcom,Capcom,90000,2017-05-26,2018-01-04,2017.0
LEGO Jurassic WorldRead the review,Warner Bros. Interactive Entertainment,Traveller's Tales,30000,2015-06-12,2018-04-06,2015.0
Everybody's Golf,Sony Interactive Entertainment,Clap Hanz,170000,2017-08-29,2018-09-23,2017.0
Xenoblade Chronicles,Nintendo,Monolith Soft,130000,2015-04-10,2018-01-15,2015.0
Metroid: Samus Returns,Nintendo,Mercury Steam,70000,2017-09-15,2018-09-21,2017.0
Just Cause 4,Square Enix,Avalanche Studios,30000,2018-12-04,2018-12-19,2018.0
Sonic Forces,Sega,Sonic Team,10000,2017-11-07,2018-02-11,2017.0
Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,Level 5,Level 5,150000,2017-10-06,2018-01-23,2017.0
Poochy & Yoshi's Woolly World,Nintendo,Good-Feel,170000,2017-02-03,2018-01-07,2017.0
FIFA 18,EA Sports,EA Vancouver,10000,2017-09-29,2018-04-02,2017.0
Mario Tennis Ultra Smash,Nintendo,Camelot Software Planning,150000,2015-11-20,2018-03-21,2015.0
Dragon Ball: Fusions,Namco Bandai Games,Ganbarion,240000,2016-11-22,2018-01-14,2016.0
F1 2018,Codemasters,Codemasters Birmingham,10000,2018-08-24,2018-09-26,2018.0
Hitman 2,Warner Bros. Interactive Entertainment,IO Interactive,20000,2018-11-13,2018-11-22,2018.0
Mario & Luigi Superstar Saga + Bowser's Minions,Nintendo,AlphaDream Corporation,80000,2017-10-06,2018-01-26,2017.0
Yokai Watch Busters 2: Hihou Densetsu Banbarayaa - Magnum / Sword,Level 5,Level 5,510000,2017-12-16,2018-09-09,2017.0
Fire Emblem Warriors,Nintendo,Omega Force,100000,2017-10-20,2020-08-03,2017.0
Homefront: The Revolution,Deep Silver,Dambuster Studios,40000,2016-05-17,2018-05-24,2016.0
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Square Enix,Square Enix,500000,2015-02-26,2019-01-30,2015.0
Attack on Titan,Tecmo Koei,Omega Force,120000,2017-01-01,2018-09-11,2017.0
Pro Evolution Soccer 2019,Konami,Konami,150000,2018-08-28,2018-09-26,2018.0
Story of Seasons: Trio of Towns,Marvelous Interactive,Marvelous Entertainment,220000,2017-02-28,2018-05-29,2017.0
Animal Crossing: Amiibo Festival,Nintendo,"Nd Cube Co., Ltd.",100000,2015-11-13,2018-02-08,2015.0
Mario & Sonic at the Rio 2016 Olympic Games,Nintendo,Sega Sports R&D,130000,2016-06-24,2018-04-05,2016.0
DiRT 4,Deep Silver,Codemasters,20000,2017-06-06,2018-11-23,2017.0
Hyrule Warriors Legends,Nintendo,Omega Force,120000,2016-03-25,2020-08-04,2016.0
Farpoint,Sony Interactive Entertainment,Impulse Gear,40000,2017-05-16,2018-09-23,2017.0
Friday the 13th: The Game,Gun Media,IllFonic,30000,2017-10-13,2018-05-30,2017.0
Wolfenstein: The Old Blood,Bethesda Softworks,MachineGames,20000,2015-05-05,2018-04-21,2015.0
Luigi's Mansion,Nintendo,GREZZO,90000,2018-10-12,2020-08-03,2018.0
Detective PikachuRead the review,Nintendo,Creatures Inc.,120000,2018-03-23,2018-01-12,2018.0
Knack 2,Sony Interactive Entertainment,SIE Japan Studio,10000,2017-09-05,2018-09-23,2017.0
Sonic Mania,Sega,PagodaWest Games,10000,2017-08-15,2017-12-23,2017.0
Dissidia Final Fantasy NTRead the review,Square Enix,Square Enix,160000,2018-01-30,2018-01-10,2018.0
Battlefield: Hardline,Electronic Arts,EA DICE,80000,2015-03-17,2018-04-11,2015.0
Mario Sports Superstars,Nintendo,Namco Bandai Games,130000,2017-03-24,2018-01-20,2017.0
Hyrule Warriors: Definitive EditionRead the review,Nintendo,Omega Force,70000,2018-05-18,2019-12-30,2018.0
Yakuza Kiwami,Sega,Sega,210000,2017-08-29,2018-01-03,2017.0
Style Savvy: Styling Star,Nintendo,syn Sophia,140000,2017-12-25,2018-09-05,2017.0
Hey! Pikmin,Nintendo,Arzest,170000,2017-07-28,2018-02-03,2017.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,160000,2015-09-15,2018-04-14,2015.0
Star Fox: Zero,Nintendo,Nintendo EPD,90000,2016-04-22,2018-11-18,2016.0
Story of Seasons,Xseed Games,Marvelous,280000,2015-03-31,2017-12-30,2015.0
God Eater 2: Rage Burst,Namco Bandai Games,Namco Bandai Games,380000,2016-10-01,2018-07-04,2016.0
NBA 2K18,2K Sports,Visual Concepts,30000,2017-09-19,2018-01-05,2017.0
Doom (2016),Bethesda Softworks,id Software,10000,2017-11-10,2018-01-05,2017.0
Destiny: The Taken King,Activision,Bungie,30000,2015-09-15,2018-04-20,2015.0
Saints Row IV: Re-ElectedRead the review,Deep Silver,Volition Inc.,30000,2015-01-20,2018-04-30,2015.0
Fossil Fighters: Frontier,Nintendo,Spike Chunsoft,230000,2015-03-20,2018-01-16,2015.0
Dishonored: Definitive Edition,Bethesda Softworks,Arkane Studios,20000,2015-08-25,2018-04-04,2015.0
Mirror's Edge Catalyst,Electronic Arts,EA DICE,30000,2016-06-07,2018-09-04,2016.0
Nintendo Labo: Toy-Con 03 Vehicle Kit,Nintendo,Nintendo EPD,60000,2018-09-14,2018-11-19,2018.0
Sword Art Online: Hollow Realization,Namco Bandai Games,Aquria,120000,2016-11-08,2019-03-22,2016.0
Momotaro Dentetsu 2017: Tachiagare Nippon!!,Nintendo,Valhalla Game Studios,400000,2016-12-22,2018-05-29,2016.0
Little NightmaresRead the review,Namco Bandai Games,Tarsier Studios,20000,2017-04-28,2019-02-20,2017.0
Tropico 5,Kalypso Media,Haemimont Games,80000,2015-04-28,2018-08-20,2015.0
Persona 4: Dancing All Night,Atlus,Dingo Inc.,160000,2015-09-29,2018-05-31,2015.0
Hatsune Miku: Project Mirai DX,Sega,Sega,110000,2015-09-08,2018-05-29,2015.0
Life is Strange,Square Enix,DONTNOD Entertainment,50000,2016-01-19,2018-01-07,2016.0
Firewall: Zero Hour,Sony Interactive Entertainment,First Contact Entertainment Inc.,20000,2018-08-29,2018-09-26,2018.0
Resident Evil: Origins Collection,Capcom,Capcom,70000,2016-01-19,2018-09-04,2016.0
Go Vacation,Nintendo,Bandai Namco Studios,10000,2018-07-27,2019-03-30,2018.0
Burnout Paradise RemasteredRead the review,Electronic Arts,Stellar Entertainment,10000,2018-03-16,2018-02-24,2018.0
Dynasty Warriors 9,Tecmo Koei,Omega Force,170000,2018-02-13,2017-12-31,2018.0
