Title,Publisher,Developer,Other Sales,Release Date,Last Update,Year
Terraria,505 Games,Re-Logic,60000,2015-12-10,2018-03-19,2015.0
Shantae: Half-Genie HeroRead the review,Xseed Games,WayForward Technologies,10000,2018-05-08,2018-12-30,2018.0
Super Robot Wars V,Namco Bandai Games,B.B. Studio,120000,2017-02-23,2018-06-30,2017.0
Portal Knights,505 Games,Keen Games,30000,2017-05-23,2018-07-03,2017.0
Saru! Get You! Million Monkeys,Sony Computer Entertainment,SCEI,120000,2016-12-30,2018-09-18,2016.0
Fire Pro Wrestling World,Spike Chunsoft,Spike Chunsoft,30000,2018-08-28,2018-09-12,2018.0
Fate/Extella Link,Xseed Games,Marvelous,120000,2019-02-19,2018-12-30,2019.0
"Snipperclips Plus: Cut It Out, Together!",Nintendo,SFB Games,100000,2017-03-03,2018-03-31,2017.0
Tokyo New World Record: Operation Abyss,NIS America,Experience Inc.,60000,2015-06-09,2018-11-15,2015.0
"Sumikko Gurashi: Koko, Dokonan Desu?",Nippon Columbia,Nippon Columbia,120000,2017-07-20,2018-07-03,2017.0
SD Gundam G Generation Genesis,Namco Bandai Games,Bandai Namco,120000,2016-11-22,2018-01-16,2016.0
Pro Yakyuu Famista Evolution,Bandai Namco Games,Bandai Namco Games,120000,2018-08-02,2018-08-26,2018.0
Picross 3D Round 2,Nintendo,HAL Laboratory,120000,2016-09-01,2018-04-23,2016.0
The Great Ace Attorney 2 - The Resolve of Ryuunosuke NaruhodouRead the review,Capcom,Capcom,120000,2017-08-03,2018-08-03,2017.0
Fatal Frame: Maiden of Black Water,Nintendo,Koei Tecmo Games,90000,2015-10-22,2018-01-01,2015.0
Jikkyou Powerful Pro Baseball 2018,Konami,Konami,120000,2018-04-26,2018-05-20,2018.0
The Snack World: Trejarers Gold,Level 5,Level 5,120000,2020-02-14,2019-12-09,2020.0
Danganronpa 1-2 Reload,NIS America,Spike Chunsoft,20000,2017-03-14,2018-01-10,2017.0
Code: Realize - Guardian of Rebirth,Aksys Games,Idea Factory,30000,2015-10-20,2018-01-15,2015.0
God Eater 2: Rage Burst,Namco Bandai Games,Namco Bandai Games,110000,2015-02-26,2018-07-04,2015.0
BlazBlue: Central Fiction,Aksys Games,Arc System Works,30000,2016-11-01,2019-01-25,2016.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,90000,2016-05-31,2018-05-23,2016.0
The Alliance AliveRead the review,Atlus,Cattle Call,60000,2018-03-27,2019-03-16,2018.0
SaGa: Scarlet Grace,Square Enix,Square Enix,110000,2016-12-15,2018-08-26,2016.0
Minecraft: Story Mode - Season Two,Telltale Games,Telltale Games,0,2017-09-19,2018-08-07,2017.0
Utawarerumono: Mask of Deception,Atlus,Aqua Plus,80000,2017-05-23,2019-03-23,2017.0
Zero Escape: Zero Time Dilemma,Aksys Games,Chime,40000,2016-06-28,2018-07-03,2016.0
The Idolmaster: Platinum Stars,Namco Bandai Games,Namco Bandai Games,110000,2016-07-28,2018-07-04,2016.0
The Witch and the Hundred KnightRead the review,NIS America,Nippon Ichi Software,60000,2016-03-01,2018-07-04,2016.0
SD Gundam G Generation Genesis,Namco Bandai Games,Bandai Namco,110000,2016-11-22,2018-01-16,2016.0
Digimon World: Next Order,Namco Bandai Games,Bandai Namco Games,110000,2016-03-17,2018-04-21,2016.0
Taiko no Tatsujin: V Version,Namco Bandai Games,Bandai Namco Games,110000,2015-07-09,2018-07-04,2015.0
Gundam Breaker 3,Namco Bandai Games,Namco Bandai Games,110000,2016-03-03,2018-07-03,2016.0
Earth Defense Force 4.1: The Shadow of New Despair,Xseed Games,Sandlot,110000,2015-12-08,2018-04-26,2015.0
Pokémon Rumble World,Nintendo,Ambrella,90000,2015-04-08,2018-08-03,2015.0
Ys VIII: Lacrimosa of Dana,NIS America,Nihon Falcom Corporation,30000,2018-06-26,2018-01-11,2018.0
Guilty Gear Xrd -Revelator-,Aksys Games,Arc System Works,40000,2016-06-07,2018-07-09,2016.0
Assassin's Creed Chronicles,Ubisoft,Climax Studios,20000,2016-02-09,2018-07-03,2016.0
Etrian Odyssey Nexus,Atlus,Atlus,110000,2019-02-05,2019-01-25,2019.0
The Seven Deadly Sins: Knights of Britannia,Bandai Namco Entertainment,Natsume Atari,20000,2018-02-09,2018-01-11,2018.0
UEFA Euro 2016,Konami Digital Entertainment,Konami Digital Entertainment,50000,2016-04-21,2018-05-03,2016.0
Romance of the Three Kingdoms XIII,Tecmo Koei,Koei Tecmo Games,60000,2016-07-05,2018-07-30,2016.0
Warriors All-Stars,Tecmo Koei,Omega Force,60000,2017-08-29,2018-09-22,2017.0
Mega Man Legacy Collection 2,Capcom,Capcom,20000,2017-08-08,2018-08-20,2017.0
Zone of the Enders: The 2nd Runner MARS,Konami,Cygames,30000,2018-09-04,2018-09-26,2018.0
Final Fantasy XIV Online Complete Edition,Square Enix,Square Enix,20000,2017-06-20,2018-07-10,2017.0
Devil May Cry 4 Special Edition,Capcom,Capcom,90000,2015-06-23,2018-09-11,2015.0
Sudden Strike 4,Kalypso Media,Kite Games,10000,2017-08-15,2018-03-24,2017.0
Accel World vs. Sword Art Online: Millennium Twilight,Namco Bandai Games,Namco Bandai Games,60000,2017-07-07,2018-07-04,2017.0
Guilty Gear Xrd REV 2,Aksys Games,Arc System Works,30000,2017-05-26,2018-08-04,2017.0
Sumikko Gurashi: Sumikko Park e Youkoso,Nippon Columbia,Nippon Columbia,100000,2017-12-07,2018-01-07,2017.0
Resident Evil 4,Capcom,Capcom,10000,2016-08-30,2018-09-04,2016.0
Dead or Alive 5 Last Round,Tecmo Koei,Team Ninja,10000,2015-02-17,2018-11-20,2015.0
Utawarerumono: Mask of Truth,Atlus,Aqua Plus,80000,2017-09-05,2018-06-03,2017.0
Kuroko's Basketball: Ties to Future,Namco Bandai Games,Bandai Namco Games,100000,2015-03-26,2018-07-04,2015.0
Persona Q2: New Cinema Labyrinth,Atlus,Atlus,100000,2019-06-04,2019-02-07,2019.0
Shantae and the Pirate's Curse,WayForward Technologies,WayForward Technologies,40000,2016-10-18,2018-01-31,2016.0
Déraciné,Sony Interactive Entertainment,From Software,10000,2018-11-06,2018-09-11,2018.0
Lost Dimension,Atlus,Lancarse,20000,2015-07-28,2018-11-24,2015.0
Nights of Azure 2,Tecmo Koei,Gust,40000,2017-10-24,2018-09-06,2017.0
Summon Night 6: Lost Borders,Gaijinworks,Media.Vision,70000,2017-10-31,2018-04-26,2017.0
Taiko no Tatsujin: Drum Session!,Namco Bandai Games,Namco Bandai Games,90000,2017-10-26,2018-09-13,2017.0
Nobunaga's Ambition: Sphere of Influence - Ascension,Tecmo Koei,Koei Tecmo Games,60000,2016-10-25,2018-09-11,2016.0
Grand Ages: Medieval,Kalypso Media,Gaming Minds Studios,30000,2015-09-29,2018-09-22,2015.0
Earth Defense Force 2: Invaders from Planet Space,Xseed Games,Sandlot,40000,2015-12-08,2018-09-13,2015.0
God Eater Resurrection,Namco Bandai Games,Namco Bandai Games,90000,2016-10-01,2018-06-10,2016.0
Dark Souls Trilogy,Bandai Namco Entertainment,From Software,10000,2018-10-19,2018-08-24,2018.0
The Seven Deadly Sins: Unjust Sin,Namco Bandai Games,Namco Bandai Games,90000,2015-02-11,2018-07-26,2015.0
Beyblade Burst,FuRyu Corporation,FuRyu,90000,2016-11-10,2018-07-25,2016.0
Dragon Quest Heroes I & II for Nintendo Switch,Square Enix,Omega Force,90000,2017-03-03,2018-01-13,2017.0
Summon Night 6: Lost Borders,Gaijinworks,Media.Vision,50000,2017-10-31,2018-04-26,2017.0
Pro Evolution Soccer 2018,Konami Digital Entertainment,Konami Digital Entertainment,30000,2017-09-12,2018-04-24,2017.0
Dark Rose Valkyrie,Idea Factory International,Compile Heart,40000,2017-06-06,2018-09-17,2017.0
Exist Archive: The Other Side of the Sky,Aksys Games,tri-Ace,60000,2016-10-18,2018-01-31,2016.0
Aikatsu! My No.1 Stage!,Bandai Namco Games,Bandai Namco Games,90000,2015-11-26,2018-08-06,2015.0
Grand Kingdom,NIS America,Monochrome Corporation,50000,2016-06-28,2018-07-03,2016.0
Nights of Azure,Tecmo Koei,Gust,90000,2016-03-29,2018-06-01,2016.0
NBA 2K18,2K Sports,Visual Concepts,10000,2017-09-19,2018-04-02,2017.0
Shining Resonance RefrainRead the review,Sega,Media.Vision,10000,2018-07-10,2018-09-15,2018.0
Lost Dimension,Atlus,Lancarse,0,2015-07-28,2018-11-24,2015.0
Nights of Azure,Tecmo Koei,Gust,80000,2016-03-29,2018-06-01,2016.0
Shantae: Half-Genie Hero,Xseed Games,Way Forward Technologies,10000,2016-12-20,2018-12-30,2016.0
Samurai Warriors Chronicles 3,Tecmo Koei,Omega Force,80000,2015-06-30,2018-08-04,2015.0
Kenka Banchou 6: Soul & Blood,Spike Chunsoft,Spike Chunsoft,80000,2015-01-15,2018-07-26,2015.0
Tokyo Twilight Ghost Hunters,Aksys Games,Toybox Games,20000,2015-03-10,2018-12-02,2015.0
Shining Resonance Refrain,Sega,Media.Vision,40000,2018-07-10,2018-09-15,2018.0
Root Letter,PQube,Kadokawa Games,30000,2016-11-10,2018-09-20,2016.0
IA/VT Colorful,Marvelous Entertainment,Marvelous,80000,2015-07-30,2018-12-03,2015.0
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,Namco Bandai Games,Bandai Namco Games,80000,2015-11-26,2018-04-08,2015.0
Atelier Firis: The Alchemist and the Mysterious Journey,Tecmo Koei,Gust,50000,2017-03-07,2018-07-04,2017.0
Future Card Buddyfight: Yuujou no Bakunetsu Fight!,FuRyu Corporation,FuRyu,80000,2015-04-16,2018-08-04,2015.0
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,Bandai Namco Games,Bandai Namco Games,80000,2016-03-24,2018-08-06,2016.0
BlazBlue: Cross Tag BattleRead the review,Arc System Works,Arc System Works,30000,2018-06-05,2018-06-06,2018.0
Assetto Corsa,505 Games,Kunos Simulazioni,10000,2016-08-30,2018-09-17,2016.0
Lost Heroes 2,Bandai Namco Games,M2,80000,2015-01-29,2018-08-06,2015.0
Mario vs. Donkey Kong: Tipping Stars,Nintendo,Nintendo Software Technology Corporation,80000,2015-03-05,2019-01-15,2015.0
Akiba's Beat,Xseed Games,Acquire,10000,2017-05-16,2018-08-01,2017.0
WRC 6,Namco Bandai Games,Bigben Interactive,10000,2017-03-03,2018-08-12,2017.0
God Wars: Future Past,NIS America,Kadokawa Games,20000,2017-06-20,2018-09-17,2017.0
Culdcept Revolt,NIS America,OmiyaSoft,70000,2017-10-03,2018-04-02,2017.0
Resident Evil 5,Capcom,Capcom,10000,2016-07-12,2018-09-04,2016.0
The Witch and the Hundred Knight 2,NIS America,Nippon Ichi Software,30000,2018-03-27,2018-04-28,2018.0
Samurai Warriors: Spirit of Sanada,Tecmo Koei,Omega Force,50000,2017-05-23,2018-07-09,2017.0
I am Setsuna,Square Enix,Tokyo RPG Factory,70000,2016-10-01,2018-07-04,2016.0
Attack on Titan,Tecmo Koei,Omega Force,70000,2017-01-01,2018-09-11,2017.0
Super Robot Wars X,Bandai Namco Games,Bandai Namco,70000,2018-03-29,2018-04-07,2018.0
Hyperdimension Neptunia Re;Birth 3: V Generation,Idea Factory International,Compile Heart,70000,2015-06-30,2018-09-21,2015.0
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,Square Enix,Square Enix,70000,2017-10-19,2018-09-17,2017.0
Chaos;Child,PQube,5pb. Inc.,70000,2017-10-24,2019-03-24,2017.0
The Silver Case,NIS America,Grasshopper Manufacture,10000,2017-04-18,2018-09-11,2017.0
The Caligula Effect,Atlus,FuRyu,70000,2017-05-02,2018-01-15,2017.0
Attack on Titan 2: Future Coordinates,Spike Chunsoft,Spike Chunsoft,70000,2017-11-30,2019-01-29,2017.0
One Piece: Unlimited World Red Deluxe Edition,Namco Bandai Games,Ganbarion,30000,2017-09-29,2018-01-08,2017.0
Samurai Warriors Chronicles 3,Tecmo Koei,Omega Force,70000,2015-06-30,2018-08-04,2015.0
Cooking Mama: Sweet Shop,Rising Star Games,Office Create,40000,2017-05-16,2018-01-16,2017.0
Genkai Tokki: Moero Crystal,Compile Heart,Compile Heart,70000,2015-09-25,2018-09-21,2015.0
Sushi Striker: The Way of Sushido,Nintendo,Indies Zero,30000,2018-06-08,2020-07-23,2018.0
City Shrouded in Shadow,Namco Bandai Games,Granzella,70000,2017-10-19,2018-01-10,2017.0
SG/ZH: School Girl/Zombie HunterRead the review,Aksys Games,Tamsoft,20000,2017-11-17,2018-09-17,2017.0
Miracle Girls Festival,Sega,Sega,70000,2015-12-17,2018-09-21,2015.0
I am Setsuna,Square Enix,Tokyo RPG Factory,70000,2016-02-18,2019-02-22,2016.0
PriPara Mezameyo! Megami no Dress Design,Takara Tomy,Takara Tomy,70000,2016-11-10,2018-07-28,2016.0
Accel World vs. Sword Art Online: Millennium Twilight,Namco Bandai Games,Namco Bandai Games,70000,2017-07-07,2018-07-04,2017.0
Bad Apple WarsRead the review,Aksys Games,Aksys Games,40000,2017-10-13,2018-09-21,2017.0
Disgaea 1 Complete,NIS America,Nippon Ichi Software,10000,2018-10-09,2019-02-19,2018.0
Atelier Sophie: The Alchemist of the Mysterious Book,Tecmo Koei,Gust,70000,2016-06-07,2018-01-07,2016.0
Dragon's Crown Pro,Atlus,Vanillaware,30000,2018-05-15,2018-02-23,2018.0
BlazBlue: Cross Tag Battle,Arc System Works,Arc System Works,10000,2018-06-05,2018-06-06,2018.0
Criminal Girls: Invite Only,NIS America,Nippon Ichi Software,40000,2015-02-03,2018-12-29,2015.0
Chou Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,Bandai Namco Games,Bandai Namco Games,70000,2016-09-15,2018-08-06,2016.0
Steins;Gate 0,PQube,5pb. Inc.,70000,2016-11-29,2018-06-10,2016.0
Zombi,Ubisoft,Ubisoft Montpellier,10000,2015-08-18,2018-01-17,2015.0
RPG Maker: Fes,NIS America,Kadokawa Games,20000,2017-06-27,2018-04-22,2017.0
Tokyo Twilight Ghost Hunters,Aksys Games,Toybox Games,20000,2015-03-10,2018-12-02,2015.0
Mary Skelter: Nightmares,Idea Factory,Compile Heart,40000,2017-09-19,2018-09-22,2017.0
Nobunaga's Ambition: Taishi,Koei Tecmo,Koei Tecmo Games,50000,2018-06-05,2018-07-30,2018.0
MotoGP 15,Milestone S.r.l.,Milestone S.r.l.,40000,2015-06-24,2018-04-24,2015.0
Super Bomberman R,Konami Digital Entertainment,HexaDrive,30000,2018-06-12,2018-09-24,2018.0
Persona 5: Dancing in Starlight,Atlus,Atlus,30000,2018-12-04,2018-08-13,2018.0
Nights of Azure 2: Bride of the New Moon,Tecmo Koei,Gust,10000,2017-10-24,2018-09-06,2017.0
A-Train 3D: City Simulator,Natsume,ArtDink,60000,2015-04-14,2018-08-06,2015.0
Girls und Panzer: Dream Tank Match,Bandai Namco Games,Bandai Namco Games,60000,2018-02-22,2018-01-16,2018.0
Birthdays the Beginning,NIS America,Arc System Works,0,2017-05-09,2018-03-04,2017.0
Steins;Gate,5pb,5pb. Inc.,20000,2015-09-18,2018-07-04,2015.0
Saki: Zenkoku-hen,Kaga Create,Unknown,60000,2015-09-17,2018-09-22,2015.0
Omega Labyrinth,D3Publisher,Matrix Software,60000,2015-11-19,2018-09-22,2015.0
Lord of Magna: Maiden Heaven,Xseed Games,Marvelous,60000,2015-06-02,2019-01-03,2015.0
To Heart 2: Dungeon Travelers,Aqua Plus,Aqua Plus,60000,2015-04-30,2018-09-22,2015.0
Fate/Extella Link,Marvelous,Marvelous,60000,2018-06-07,2018-12-30,2018.0
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,Idea Factory,Compile Heart,20000,2016-09-13,2018-09-22,2016.0
Luminous Arc Infinity,Marvel Entertainment,Xseed Games,60000,2015-08-06,2018-09-22,2015.0
Atelier Lydie & Suelle: The Alchemists and the Mysterious PaintingsRead the review,Tecmo Koei,Gust,30000,2018-03-27,2018-02-10,2018.0
Uta no Prince-Sama: Music 3,Broccoli,Nippon Ichi Software,60000,2016-01-28,2018-09-22,2016.0
Sword Art Online: Game Director's Edition,Namco Bandai Games,Namco Bandai Games,60000,2015-11-19,2018-09-17,2015.0
New Prince of Tennis: Go to the Top,FuRyu Corporation,FuRyu,60000,2015-03-05,2018-08-06,2015.0
Shiren The Wanderer: The Tower of Fortune and the Dice of Fate,Aksys Games,"Chunsoft Co., Ltd.",40000,2016-07-26,2018-09-22,2016.0
Dragon Quest X: All in One Package,Square Enix,Square Enix,60000,2017-08-17,2018-01-13,2017.0
Samurai Warriors 4-II,Tecmo Koei,Omega Force,60000,2015-09-29,2018-05-02,2015.0
Dungeon Travelers 2-2: The Maiden Who Fell into Darkness and the Book of Beginnings,Aquaplus,Aqua Plus,60000,2017-04-20,2019-03-23,2017.0
Yomawari: Midnight Shadows,NIS America,Nippon Ichi Software,40000,2017-10-24,2018-06-30,2017.0
Disgaea 1 Complete,NIS America,Nippon Ichi Software,10000,2018-10-09,2019-02-19,2018.0
Tokyo Ghoul: Jail,Namco Bandai Games,Bandai Namco Games,60000,2015-10-01,2018-09-22,2015.0
Azure Striker Gunvolt: Striker Pack,Nighthawk Interactive,Inti Creates,10000,2017-11-21,2018-01-11,2017.0
Portal Knights,505 Games,Keen Games,10000,2018-02-13,2018-07-03,2018.0
Cardfight!! Vanguard G: Stride to Victory!!,FuRyu Corporation,FuRyu,60000,2016-01-14,2018-08-04,2016.0
Refrain no Chika Meikyuu to Majo no Ryodan,Nippon Ichi Software,Nippon Ichi Software,60000,2016-06-23,2018-09-22,2016.0
Etrian Mystery Dungeon 2,Atlus,Atlus,60000,2017-08-31,2018-01-14,2017.0
Gintama Ranbu,Bandai Namco Games,Bandai Namco Games,60000,2018-01-18,2018-01-24,2018.0
Utawarerumono: Mask of Deception,Aqua Plus,Aqua Plus,60000,2015-09-24,2019-03-23,2015.0
One Piece: Pirate Warriors 3 - Deluxe Edition,Bandai Namco Entertainment,Omega Force,50000,2018-05-11,2019-02-20,2018.0
Exist Archive: The Other Side of the Sky,Aksys Games,tri-Ace,30000,2016-10-18,2018-01-31,2016.0
Bullet Girls 2,D3Publisher,Shade,60000,2016-04-21,2018-09-22,2016.0
All Kamen Rider: Rider Revolution,Bandai Namco Games,Bandai Namco Games,60000,2016-12-01,2018-08-06,2016.0
Gal Gun: Double Peace,PQube,Inti Creates,10000,2016-08-02,2018-03-04,2016.0
Nobunaga?s Ambition: Sphere of Influence ? Ascension,Tecmo Koei,Koei Tecmo Games,60000,2016-03-24,2018-07-30,2016.0
Arslan: The Warriors of Legend,Tecmo Koei,Koei Tecmo Games,60000,2016-02-09,2018-07-31,2016.0
Ride,Milestone S.r.l.,Milestone S.r.l.,10000,2015-06-23,2018-04-24,2015.0
Disaster Report 4 Plus: Summer Memories,NIS America,Granzella,50000,2020-04-07,2018-12-19,2020.0
Romance of the Three Kingdoms XIII,Tecmo Koei,Koei Tecmo Games,50000,2016-01-28,2018-07-30,2016.0
Nights of Azure,Tecmo Koei,Gust,50000,2016-03-29,2018-06-01,2016.0
Valkyria Revolution,Sega,Media.Vision,50000,2017-06-27,2018-01-21,2017.0
Haikyu!! Cross Team Match!,Bandai Namco Games,Bandai Namco Games,50000,2016-03-03,2018-08-06,2016.0
Period Cube ~Shackles of Amadeus~,Aksys Games,Idea Factory,30000,2017-04-28,2018-09-22,2017.0
Yakuza 3,Sega,Sega,50000,2018-08-09,2018-08-25,2018.0
Hatsune Miku: Project Diva Future Tone DX,Sega,Sega,50000,2017-11-22,2017-12-30,2017.0
Little Nightmares,Bandai Namco Entertainment,Tarsier Studios,30000,2018-05-18,2019-02-20,2018.0
Phantasy Star Online 2 Episode 4: Deluxe Package,Sega,Sega,50000,2017-04-20,2018-09-18,2017.0
Little Dragons Café,Aksys Games,Aksys Games,10000,2018-08-24,2018-09-26,2018.0
Nobunaga?s Ambition: Sphere of Influence ? Ascension,Tecmo Koei,Koei Tecmo Games,50000,2016-03-24,2018-07-30,2016.0
Collar x Malice,Aksys Games,Idea Factory,30000,2017-07-28,2018-01-19,2017.0
Macross ? Scramble,Namco Bandai Games,ArtDink,50000,2016-10-20,2018-09-22,2016.0
My Hero Academia: Battle for All,Namco Bandai Games,Bandai Namco Games,50000,2016-05-19,2018-04-26,2016.0
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,Tecmo Koei,Gust,50000,2015-01-22,2018-01-02,2015.0
Sengoku BASARA Sanada Yukimura-den,Capcom,Capcom,50000,2016-08-25,2018-06-03,2016.0
Corpse Party: Blood Covered - Repeated Fear,5pb,Team GrisGris,50000,2015-07-30,2018-01-14,2015.0
Gakusen Toshi Asterisk Festa: Houka Kenran,Namco Bandai Games,Bandai Namco Games,50000,2016-01-28,2018-09-22,2016.0
Metal Max Xeno,NIS America,Kadokawa Games,30000,2018-09-25,2018-04-28,2018.0
I am Setsuna,Square Enix,Tokyo RPG Factory,50000,2017-03-03,2018-07-04,2017.0
Yowamushi Pedal Asu e no High Cadence,Namco Bandai Games,Bandai Namco,50000,2015-01-29,2019-01-30,2015.0
Yomawari: The Long Night CollectionRead the review,NIS America,Nippon Ichi Software,10000,2018-10-30,2018-11-07,2018.0
Atelier Ayesha Plus: The Alchemist of Dusk,Tecmo Koei,Gust,50000,2015-01-13,2018-01-02,2015.0
