Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Fire Emblem: Three HousesRead the review,Nintendo,Intelligent Systems,4120000,2019-07-26,2019-06-11,2019.0
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,4120000,2018-09-14,2020-10-26,2018.0
Until Dawn,Sony Computer Entertainment,Supermassive Games Ltd.,4040000,2015-08-25,2018-09-14,2015.0
Super Mario Maker,Nintendo,Nintendo EAD,4019999,2015-09-11,2018-03-29,2015.0
Control,505 Games,Remedy Entertainment,4000000,2019-08-27,2020-12-09,2019.0
Far Cry Primal,Ubisoft,Ubisoft Montreal,4000000,2016-02-23,2020-10-28,2016.0
Hyrule Warriors: Age of CalamityRead the review,Nintendo,Koei Tecmo Games,4000000,2020-11-20,2020-09-12,2020.0
Lego Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,4000000,2015-06-12,2020-10-22,2015.0
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",Konami,Konami,4000000,2020-11-19,2020-11-24,2020.0
Monster Hunter: World,Capcom,Capcom,4000000,2018-01-26,2018-01-30,2018.0
Octopath Traveler,Square Enix,Square Enix,4000000,2018-07-13,2023-06-07,2018.0
Persona 5 Royal,Sega,Atlus,4000000,2020-03-31,2022-12-01,2020.0
Remnant,Perfect World Entertainment,Gunfire Games,4000000,2019-08-20,2023-08-02,2019.0
V Rising,Stunlock Studios,Stunlock Studios,4000000,2022-05-17,2022-05-24,2022.0
Dark Souls III,Namco Bandai Games,From Software,3910000,2016-04-12,2018-04-23,2016.0
Capcom Arcade Stadium,Capcom,Capcom,3900000,2021-02-17,2023-11-08,2021.0
Jump Force,Bandai Namco Entertainment,Spike Chunsoft,3850000,2019-02-15,2018-06-11,2019.0
Cyberpunk 2077Read the review,CD Projekt Red Studio,CD Projekt Red Studio,3840000,2020-11-19,2019-06-10,2020.0
Resident Evil VII: BiohazardRead the review,Capcom,Capcom,3830000,2017-01-24,2018-11-06,2017.0
Super Mario Maker,Nintendo,Nintendo,3790000,2016-12-02,2018-03-29,2016.0
1-2-Switch,Nintendo,Nintendo EPD,3740000,2017-03-03,2018-11-19,2017.0
Street Fighter 6,Capcom,Capcom,3700000,2023-06-02,2022-06-02,2023.0
World of Warcraft: Shadowlands,Blizzard Entertainment,Blizzard Entertainment,3700000,2020-10-24,2020-08-05,2020.0
Elden Ring,Bandai Namco Entertainment,From Software,3640000,2022-02-25,2023-01-18,2022.0
Undertale,Toby Fox,Toby Fox,3580000,2015-09-15,2018-01-07,2015.0
Animal Crossing: Happy Home Designer,Nintendo,Nintendo EAD,3510000,2015-09-25,2018-01-14,2015.0
A Way Out,Electronic Arts,Hazelight,3500000,2018-03-23,2020-03-11,2018.0
A Way Out,Electronic Arts,Hazelight,3500000,2018-03-23,2021-02-12,2018.0
Cult of the Lamb,Devolver Digital,Massive Monster,3500000,2022-08-11,2022-08-18,2022.0
Nioh,Koei Tecmo,Team Ninja,3500000,2017-02-09,2020-10-17,2017.0
Resident Evil: Revelations 2,Capcom,Capcom,3500000,2015-02-24,2020-10-11,2015.0
Sonic Frontiers,Sega,Sonic Team,3500000,2022-11-08,2022-12-13,2022.0
Monument Valley 2,Ustwo Games,Ustwo Games,3500000,2017-06-05,2021-01-30,2017.0
Pikmin 4Read the review,Nintendo,Nintendo,3480000,2023-07-21,2022-09-13,2023.0
Paper Mario: The Origami KingRead the review,Nintendo,Intelligent Systems,3470000,2020-07-17,2020-08-01,2020.0
Dying Light,Warner Bros. Interactive Entertainment,Techland,3470000,2016-02-06,2018-05-04,2016.0
The Legend of Zelda: Majora's Mask 3DRead the review,Nintendo,GREZZO,3460000,2015-02-13,2018-01-31,2015.0
World of Warcraft: Battle for Azeroth,Blizzard Entertainment,Blizzard Entertainment,3400000,2018-08-14,2018-04-19,2018.0
Dark Souls: Remastered,Bandai Namco Entertainment,From Software,3390000,2018-05-25,2023-08-04,2018.0
Yoshi's Crafted WorldRead the review,Nintendo,Good-Feel,3350000,2019-03-29,2019-03-22,2019.0
Naruto Shippuden: Ultimate Ninja Storm Trilogy,Bandai Namco Entertainment,CyberConnect2,3340000,2018-04-26,2022-08-31,2018.0
Super Mario RPGRead the review,Nintendo,Nintendo,3310000,2023-11-17,2023-06-21,2023.0
Horizon: Zero Dawn,PlayStation Mobile Inc.,Guerrilla Games,3300000,2020-08-07,2020-08-05,2020.0
World of Warcraft: Legion,Blizzard Entertainment,Blizzard Entertainment,3300000,2016-08-29,2018-04-22,2016.0
Dark Souls III,Namco Bandai Games,From Software,3290000,2016-04-11,2018-11-02,2016.0
Dragon Ball Z: KakarotRead the review,Bandai Namco Games,CyberConnect2,3220000,2020-01-17,2019-07-23,2020.0
Lego Star Wars: The Skywalker Saga,Warner Bros. Interactive Entertainment,TT Games,3200000,2022-04-05,2022-04-22,2022.0
Street Fighter 30th Anniversary Collection,Capcom,Capcom,3200000,2018-05-29,2020-10-12,2018.0
Naruto to Boruto: Shinobi Striker,Bandai Namco Entertainment,Soleil Software Studio Inc.,3180000,2018-08-31,2023-08-05,2018.0
Fire Emblem Fates,Nintendo,Intelligent Systems,3090000,2016-02-19,2017-12-31,2016.0
Elden Ring,Bandai Namco Entertainment,From Software,3040000,2022-02-25,2023-01-18,2022.0
Metroid DreadRead the review,Nintendo,Nintendo,3040000,2021-10-08,2021-06-15,2021.0
Miitopia,Nintendo,Nintendo,3010000,2017-07-28,2021-08-05,2017.0
Armored Core VI Fires of Rubicon,Bandai Namco Entertainment,From Software,3000000,2023-08-24,2024-07-25,2023.0
Code Vein,Bandai Namco Entertainment,Bandai Namco Studios,3000000,2019-09-27,2020-02-04,2019.0
Code Vein,Bandai Namco Entertainment,Bandai Namco Studios,3000000,2019-09-27,2020-10-09,2019.0
Crusader Kings III,Paradox Interactive,Paradox Development,3000000,2020-09-01,2024-05-17,2020.0
Dave the Diver,Mintrocket,Mintrocket,3000000,2023-06-28,2024-01-03,2023.0
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,Sega,CyberConnect2,3000000,2021-10-15,2022-01-04,2021.0
Dragon's Dogma 2,Capcom,Capcom,3000000,2024-03-22,2024-04-03,2024.0
Enter the Gungeon,Devolver Digital,Dodge Roll,3000000,2016-04-05,2021-01-21,2016.0
Farming Simulator 22,Giants Software,Giants Software,3000000,2021-11-22,2021-12-01,2021.0
Final Fantasy Pixel Remaster,Square Enix,Square Enix,3000000,2021-07-28,2023-05-02,2021.0
Final Fantasy XVIRead the review,Square Enix,Square Enix,3000000,2023-06-22,2020-09-16,2023.0
Football Manager 2020,Sega,Sports Interactive,3000000,2019-11-18,2023-08-11,2019.0
Gungeon,Devolver Digital,Dodge Roll,3000000,2016-04-05,2020-03-03,2016.0
Jurassic World Evolution,Frontier Developments,Frontier Developments,3000000,2018-06-12,2021-01-19,2018.0
Kingdom Come: Deliverance,Deep Silver,Warhorse Studios,3000000,2018-02-13,2021-01-10,2018.0
Life is Strange,Square Enix,DONTNOD Entertainment,3000000,2015-01-30,2021-02-14,2015.0
Little Nightmares,Bandai Namco Entertainment,Tarsier Studios,3000000,2017-04-28,2021-01-22,2017.0
Mass Effect: Andromeda,Electronic Arts,BioWare,3000000,2017-03-21,2020-12-05,2017.0
Middle-earth: Shadow of War,Warner Bros. Interactive Entertainment,Monolith Productions,3000000,2017-10-10,2021-08-30,2017.0
Mortal Kombat 1,Warner Bros.,NetherRealm Studios,3000000,2023-09-19,2023-11-09,2023.0
Octopath Traveler,Square Enix,Square Enix,3000000,2018-07-13,2021-02-13,2018.0
PGA Tour 2K21,2K Sports,HB Studios,3000000,2020-08-21,2020-11-06,2020.0
Remnant: From the Ashes,Perfect World Entertainment,Gunfire Games,3000000,2019-08-20,2021-02-12,2019.0
Space Engineers,Keen Software House,Keen Software House,3000000,2019-02-28,2018-09-13,2019.0
Squad,Offworld Industries,Offworld Industries,3000000,2015-12-15,2019-08-29,2015.0
Tales of Arise,Bandai Namco Entertainment,Bandai Namco Games,3000000,2021-09-10,2021-09-16,2021.0
Warhammer: Vermintide,Fatshark,Fatshark,3000000,2015-10-23,2020-03-04,2015.0
World War Z,Mad Dog Games,Saber Interactive,3000000,2019-04-16,2020-11-27,2019.0
WWE 2K17,2K Sports,THQ,3000000,2016-10-11,2020-10-24,2016.0
Yokai Watch,Nintendo,Level 5,2970000,2015-11-06,2018-01-05,2015.0
Nioh,Sony Interactive Entertainment,Team Ninja,2900000,2017-02-07,2020-08-05,2017.0
SubnauticaRead the review,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2870000,2018-01-23,2018-02-14,2018.0
Prison Architect,Introversion Software,Introversion Software,2860000,2015-10-06,2018-08-18,2015.0
Superhot,SUPERHOT Team,SUPERHOT Team,2840000,2016-02-25,2020-05-19,2016.0
Hollow Knight,Team Cherry,Team Cherry,2800000,2017-02-24,2020-03-14,2017.0
Hollow Knight,Team Cherry,Team Cherry,2800000,2017-02-24,2021-01-21,2017.0
Ratchet & Clank: Rift Apart,Sony Interactive Entertainment,Insomniac Games,2720000,2021-06-11,2020-06-11,2021.0
ARMS,Nintendo,Nintendo EPD,2720000,2017-06-16,2018-11-19,2017.0
Xenoblade Chronicles 2,Nintendo,Monolith Soft,2700000,2017-12-01,2018-01-01,2017.0
Elden Ring,Bandai Namco Entertainment,From Software,2670000,2022-02-25,2023-01-18,2022.0
Bloodstained,Inti Creates,Inti Creates,2600000,2018-05-24,2021-02-08,2018.0
NieR: Automata,Square Enix,PlatinumGames,2600000,2017-03-07,2018-01-01,2017.0
Mario Strikers: Battle LeagueRead the review,Nintendo,Nintendo,2540000,2022-06-10,2022-02-09,2022.0
Dragon Ball: Xenoverse,Namco Bandai Games,Dimps Corporation,2520000,2015-02-24,2018-09-11,2015.0
Detroit: Become Human,Quantic Dream,Quantic Dream,2500000,2019-12-12,2019-03-20,2019.0
Dishonored 2,Bethesda Softworks,Arkane Studios,2500000,2016-11-11,2021-01-27,2016.0
Evolve,2K Games,Turtle Rock Studios,2500000,2015-02-10,2021-07-22,2015.0
Factorio,Wube Software LTD.,Wube Software LTD.,2500000,2016-01-01,2021-02-06,2016.0
Firewatch,Panic,Campo Santo,2500000,2016-02-09,2021-01-30,2016.0
Forza Horizon 3Read the review,Microsoft Studios,Playground Games,2500000,2016-09-27,2018-01-13,2016.0
Ghostrunner,505 Games,One More Level,2500000,2020-10-27,2021-05-31,2020.0
God of War,PlayStation PC,SIE Santa Monica Studio,2500000,2022-01-14,2022-05-26,2022.0
Nioh 2,Sony Interactive Entertainment,Koei Tecmo Games,2500000,2020-03-13,2021-04-28,2020.0
Planet Coaster,Frontier Developments,Frontier Developments,2500000,2016-11-17,2018-09-22,2016.0
Streets of Rage 4,DotEmu,DotEmu,2500000,2020-04-30,2021-02-22,2020.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,2490000,2016-01-28,2018-04-11,2016.0
Mario Golf: Super RushRead the review,Nintendo,Camelot Software Planning,2480000,2021-06-25,2021-02-17,2021.0
Dragon Ball FighterZ,Bandai Namco Entertainment,Arc System Works,2430000,2018-09-28,2018-06-12,2018.0
New Pokémon Snap,Nintendo,Bandai Namco Studios,2400000,2021-04-30,2020-06-17,2021.0
Pikmin 3 Deluxe,Nintendo,Nintendo,2400000,2020-10-30,2020-08-05,2020.0
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,Nintendo,Level 5,2370000,2018-09-07,2018-09-09,2018.0
Captain Toad: Treasure Tracker,Nintendo,Nintendo EPD,2350000,2018-07-13,2018-11-18,2018.0
Cyberpunk 2077,CD Projekt Red Studio,CD Projekt Red Studio,2330000,2020-11-19,2019-06-10,2020.0
Marvel vs. Capcom: Infinite,Capcom,Capcom,2300000,2017-09-19,2020-10-12,2017.0
Persona 5 RoyalRead the review,Atlus,Atlus,2300000,2020-03-31,2020-08-05,2020.0
Tabletop Simulator,Berserk Games,Berserk Games,2300000,2015-06-05,2018-02-18,2015.0
The Escapists,Team17,Mouldy Toof Studios,2290000,2015-02-13,2021-02-18,2015.0
Darksiders: Warmastered Edition,THQ Nordic,Kaiko,2280000,2016-11-29,2018-03-31,2016.0
Golf With Your Friends,Team 17,Blacklight Interactive,2270000,2016-01-29,2019-02-02,2016.0
Mario Party 10,Nintendo,"Nd Cube Co., Ltd.",2270000,2015-03-20,2018-01-24,2015.0
Project CARS,Bandai Namco Entertainment,Slightly Mad Studios,2260000,2015-05-06,2020-03-17,2015.0
Taiko no Tatsujin: Drum 'n' Fun!,Bandai Namco Games,Bandai Namco Games,2240000,2018-11-02,2018-08-25,2018.0
Darkest Dungeon,Red Hook Studios,Red Hook Studios,2210000,2016-01-19,2018-01-31,2016.0
Yokai Watch 3: Sushi / Tempura / Sukiyaki,Level 5,Level 5,2210000,2016-07-16,2019-01-26,2016.0
Capcom Arcade Stadium,Capcom,Capcom,2200000,2021-02-17,2023-06-06,2021.0
Content Warning,Landfall Games,Skog,2200000,2024-04-01,2024-04-16,2024.0
Dragon Quest Builders,Square Enix,Square Enix,2200000,2016-10-11,2020-03-11,2016.0
Naruto to Boruto: Shinobi Striker,Bandai Namco Games,Soleil Software Studio Inc.,2130000,2018-08-31,2018-06-14,2018.0
Total War: WARHAMMER,Sega,Creative Assembly,2089999,2016-05-24,2018-05-30,2016.0
Demon’s Souls,Sony Interactive Entertainment,Bluepoint Games,2080000,2020-11-12,2020-09-18,2020.0
Naruto Shippuden: Ultimate Ninja Storm Trilogy,Bandai Namco Entertainment,CyberConnect2,2080000,2018-04-26,2018-03-03,2018.0
Dragon Ball: Xenoverse 2,Namco Bandai Games,Dimps Corporation,2060000,2016-10-25,2018-03-03,2016.0
Plague Inc: Evolved,Ndemic Creations,Ndemic Creations,2000000,2020-12-31,2019-02-02,2020.0
Atelier Ryza,Koei Tecmo,Gust,2000000,2019-10-29,2021-03-29,2019.0
Balatro,Playstack,LocalThunk,2000000,2024-02-20,2024-03-18,2024.0
Beat Saber,Beat Games,Beat Games,2000000,2019-05-21,2020-10-10,2019.0
Bloodstained: Ritual of the Night,505 Games,ArtPlay,2000000,2019-06-18,2021-02-08,2019.0
Crusader Kings III,Paradox Interactive,Paradox Interactive,2000000,2020-09-01,2019-10-29,2020.0
Cuphead - The Delicious Last Course,Studio MDHR,Studio MDHR,2000000,2022-06-30,2022-06-10,2022.0
Dead Island 2,Deep Silver,Dambuster Studios,2000000,2023-04-21,2023-04-24,2023.0
Farming Simulator 19,Focus Home Interactive,Giants Software,2000000,2018-11-19,2020-12-18,2018.0
Fire Emblem Warriors,Nintendo,Omega Force,2000000,2017-10-20,2022-08-17,2017.0
Fitness Boxing,Nintendo,Imagineer,2000000,2019-01-04,2021-01-14,2019.0
Football Manager 2019,Sega,Sports Interactive,2000000,2018-11-02,2021-02-12,2018.0
Granblue Fantasy,Xseed Games,Cygames,2000000,2020-03-03,2020-04-23,2020.0
GreedFall,Focus Home Interactive,Spiders,2000000,2019-09-10,2021-02-22,2019.0
Hot Wheels Unleashed,Milestone,Milestone,2000000,2021-09-30,2021-12-22,2021.0
Icey,X.D. Network Inc.,FantaBlade Network,2000000,2016-11-17,2021-08-18,2016.0
Manor Lords,Hooded Horse,Slavic Magic,2000000,2024-04-26,2024-04-28,2024.0
Mario + Rabbids: Kingdom BattleRead the review,Ubisoft,Ubisoft Milan,2000000,2017-08-29,2018-01-24,2017.0
MLB The Show 21,Sony Interactive Entertainment,SIE San Diego Studio,2000000,2021-04-20,2021-07-28,2021.0
Monster Hunter Stories 2: Wings of Ruin,Capcom,Capcom,2000000,2021-07-09,2021-07-20,2021.0
One Piece: Pirate Warriors 4,Bandai Namco Entertainment,Omega Force,2000000,2020-03-27,2020-12-10,2020.0
Persona 5 Strikers,Sega,Omega Force,2000000,2021-02-23,2020-12-07,2021.0
Project CARS,Bandai Namco Entertainment,Slightly Mad Studios,2000000,2015-05-06,2021-01-22,2015.0
Sifu,Sloclap,Sloclap,2000000,2022-02-08,2022-03-02,2022.0
Sons of the Forest,Newnight,Endnight Games Ltd,2000000,2023-02-23,2023-02-27,2023.0
SoulCalibur VI,Bandai Namco Entertainment,Bandai Namco Studios,2000000,2018-10-19,2021-07-21,2018.0
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,THQ Nordic,THQ Nordic,2000000,2020-06-23,2020-11-27,2020.0
Super Bomberman R,Konami,Konami,2000000,2017-03-03,2021-02-19,2017.0
Superhot VR,SUPERHOT Team,SUPERHOT Team,2000000,2016-12-05,2021-01-21,2016.0
Tales of Berseria,Namco Bandai Games,Namco Bandai Games,2000000,2017-01-24,2021-09-16,2017.0
Tekken 8,Bandai Namco Entertainment,Bandai Namco Games,2000000,2024-01-25,2022-09-14,2024.0
Vampyr,Focus Home Interactive,DONTNOD Entertainment,2000000,2018-06-05,2020-11-27,2018.0
Warhammer: Vermintide 2,Fatshark,Fatshark,2000000,2018-03-08,2021-01-21,2018.0
Pokémon Mystery Dungeon: Rescue Team DX,Nintendo,Spike Chunsoft,1990000,2020-03-06,2020-08-05,2020.0
Stellaris,Paradox Interactive,Paradox Interactive,1970000,2016-05-09,2018-09-22,2016.0
Big Brain Academy: Brain vs. Brain,Nintendo,Nintendo,1940000,2021-12-03,2021-09-11,2021.0
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,Namco Bandai Games,CyberConnect2,1920000,2017-02-03,2018-06-25,2017.0
Dark Souls III,Namco Bandai Games,From Software,1900000,2016-04-12,2018-11-11,2016.0
Mega Man 11,Capcom,Capcom,1900000,2018-10-02,2020-10-12,2018.0
Octopath TravelerRead the review,Nintendo,Square Enix,1900000,2018-07-13,2018-10-02,2018.0
Dark Souls: RemasteredRead the review,Bandai Namco Entertainment,From Software,1890000,2018-05-25,2018-06-05,2018.0
Xenoblade Chronicles: Definitive EditionRead the review,Nintendo,Monolith Soft,1880000,2020-05-29,2020-05-11,2020.0
The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,1880000,2017-08-01,2018-08-07,2017.0
Xenoblade Chronicles 3Read the review,Nintendo,Monolith Soft,1860000,2022-07-29,2022-02-09,2022.0
Ghost of Tsushima Director's Cut,Sony Interactive Entertainment,Sucker Punch Productions,1860000,2020-07-17,2023-12-22,2020.0
Dragon Ball: Xenoverse 2,Namco Bandai Games,Dimps Corporation,1820000,2017-09-22,2018-01-01,2017.0
Friday the 13th: The Game,Gun Media,IllFonic,1800000,2017-05-26,2021-02-22,2017.0
Kingdom Hearts HD I.5 + II.5 ReMIX,Square Enix,Square Enix,1800000,2017-03-28,2018-01-10,2017.0
Monster Hunter Double Cross,Capcom,Capcom,1800000,2017-03-18,2018-01-05,2017.0
The Escapists,Team17,Mouldy Toof Studios,1800000,2015-02-13,2021-02-18,2015.0
Yakuza: Like a Dragon,Sega,Sega,1800000,2020-11-10,2023-12-21,2020.0
Dark Souls II: Scholar of the First Sin,Namco Bandai Games,From Software,1790000,2015-04-07,2018-04-23,2015.0
Miitopia,Nintendo,Nintendo,1790000,2021-05-21,2021-02-18,2021.0
Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,1780000,2015-09-01,2018-01-05,2015.0
Ori and the Blind Forest: Definitive EditionRead the review,Nordic Games,Moon Studios,1760000,2016-06-14,2018-08-12,2016.0
Paper Mario: The Thousand-Year Door,Nintendo,Intelligent Systems,1760000,2024-05-23,2023-09-14,2024.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,1750000,2015-09-01,2018-05-04,2015.0
Cuphead,Studio MDHR,Studio MDHR,1740000,2017-09-29,2020-08-01,2017.0
Mario Kart Live: Home Circuit,Nintendo,Velan Studios,1730000,2020-10-16,2020-09-03,2020.0
Capcom Arcade 2nd Stadium,Capcom,Capcom,1700000,2022-07-22,2023-11-08,2022.0
Days Gone,PlayStation PC,SIE Bend Studio,1700000,2021-05-18,2022-01-06,2021.0
Saints Row (2022),Deep Silver,Volition,1700000,2022-08-23,2024-05-15,2022.0
The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo EPD,1700000,2017-03-03,2018-11-19,2017.0
Pokémon Super Mystery Dungeon,Nintendo,ChunSoft,1670000,2015-11-20,2018-08-03,2015.0
Kirby: Planet Robobot,Nintendo,HAL Laboratory,1640000,2016-06-10,2018-04-20,2016.0
Sackboy: A Big Adventure,Sony Interactive Entertainment,Sumo Digital,1620000,2020-11-12,2023-12-22,2020.0
Fire Emblem EngageRead the review,Nintendo,Intelligent Systems,1610000,2023-01-20,2022-09-13,2023.0
Dragon Quest VII: Fragments of the Forgotten Past,Nintendo,ArtePiazza,1600000,2016-09-16,2018-01-30,2016.0
Marvel Ultimate Alliance 3: The Black Order,Nintendo,Team Ninja,1600000,2019-07-19,2019-06-12,2019.0
Mega Man Legacy Collection,Capcom,Capcom,1600000,2015-08-25,2020-10-10,2015.0
Shin Megami Tensei V,Sega,Atlus,1600000,2021-11-12,2024-06-20,2021.0
Yoshi's Woolly World,Nintendo,Good-Feel,1570000,2015-10-16,2020-08-03,2015.0
Dragon Ball FighterZ,Namco Bandai Games,Arc System Works,1560000,2018-01-26,2018-04-02,2018.0
Hitman,Square Enix,IO Interactive,1530000,2016-03-11,2018-05-01,2016.0
Ancestors: The Humankind Odyssey,Private Division,Panache Digital Games,1500000,2019-08-27,2021-05-18,2019.0
ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,1500000,2017-08-29,2018-09-22,2017.0
