Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Sun Blast: Star Fighter,EQ Games,OBLONE Software,140000,2015-04-03,2019-04-22,2015.0
Battle Brothers,Overhype Studios,Overhype Studios,140000,2017-03-24,2019-04-22,2017.0
Winter Novel,DeXP,DeXP,140000,2016-08-10,2019-04-22,2016.0
Force of Nature,A.Y.std,A.Y.std,140000,2016-12-13,2019-04-22,2016.0
Sig.NULL,Dagestan Technology,SaintHeiser,140000,2016-09-27,2019-04-22,2016.0
NUKED KNIGHT,Siberian Digital,Nuked Games,140000,2016-10-19,2019-04-22,2016.0
Space Pilgrim Episode IV: Sol,GrabTheGames,Pilgrim Adventures,140000,2016-03-04,2019-04-22,2016.0
The Silent AgeRead the review,Meridian4,House On Fire,140000,2015-05-29,2019-04-22,2015.0
Fahrenheit: Indigo Prophecy Remastered,Aspyr,Aspyr,140000,2015-01-29,2019-04-22,2015.0
Squeezone,Dagestan Technology,Versus System,140000,2016-09-16,2019-04-22,2016.0
Fairy Fencer F,Idea Factory International,Compile Heart,140000,2015-08-04,2018-11-04,2015.0
Cat Goes Fishing,Unknown,Cat5Games,140000,2015-01-20,2019-04-22,2015.0
Shantae and the Pirate's Curse,WayForward,WayForward,140000,2015-04-23,2019-04-22,2015.0
Absolute Drift,Funselektor Labs Inc.,Funselektor Labs Inc.,140000,2015-07-29,2019-04-22,2015.0
Teslagrad,Rain Games,Rain Games,140000,2015-09-15,2019-04-22,2015.0
Garden Rescue,Rainbow Games,Rainbow Games,140000,2015-02-02,2019-04-08,2015.0
Guilty Gear Xrd: Sign,Arc System Works,Arc System Works,140000,2015-12-09,2019-04-21,2015.0
"Warhammer 40,000: Inquisitor - Martyr",NeocoreGames,NeoCoreGames,140000,2018-06-05,2019-04-22,2018.0
Mega Man Legacy Collection,Capcom,Digital Eclipse Software,130000,2015-08-25,2018-05-29,2015.0
The Mercury Man,Mehsoft,Mehsoft,130000,2018-05-20,2019-04-22,2018.0
SpellForce 3,THQ Nordic,Grimlore Games,130000,2017-12-07,2019-04-22,2017.0
Fallout 4 VR,Bethesda Softworks,Bethesda Game Studios,130000,2017-12-11,2018-02-07,2017.0
BattleStorm,Icy Studios,Icy Studios,130000,2016-03-24,2019-04-22,2016.0
Mouse in Lab,Unknown,Unknown,130000,2017-02-02,2019-04-21,2017.0
Haydee,Haydee Interactive,Haydee Interactive,130000,2016-09-26,2019-04-21,2016.0
Hyperdimension Neptunia Re;Birth2: Sisters Generation,Idea Factory,Idea Factory,130000,2015-05-29,2019-04-17,2015.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,130000,2016-07-01,2018-05-23,2016.0
The Magical Silence,Anatoliy Loginovskikh,Anatoliy Loginovskikh,130000,2016-06-10,2019-04-21,2016.0
Totem,Dagestan Technology,Grizlikyt,130000,2016-08-30,2019-04-21,2016.0
Colony Survival,Pipliz,Pipliz,130000,2017-06-16,2019-04-21,2017.0
Nobunaga's Ambition: Taishi,Koei Tecmo,Koei Tecmo Games,130000,2017-11-30,2020-10-17,2017.0
Warriors All-Stars,Koei Tecmo,Omega Force,130000,2017-03-30,2020-10-17,2017.0
Dinosaur Hunt,ANPA.US,Racing Bros,130000,2015-09-17,2019-04-21,2015.0
"Warhammer 40,000: Regicide",Hammerfall Publishing,Hammerfall Publishing,130000,2015-09-08,2019-03-29,2015.0
"Linea, the Game",KHB-Soft,KHB-Soft,130000,2016-01-04,2019-04-21,2016.0
Cucumber Blues,Unknown,Unknown,130000,2017-04-03,2019-04-21,2017.0
Bootombaa,cada,Naarassusi Game,130000,2017-03-09,2019-04-21,2017.0
Dungreed,TEAM HORAY,TEAM HORAY,130000,2018-02-15,2019-04-21,2018.0
Obduction,Cyan Worlds,Cyan Worlds,130000,2016-08-24,2019-04-21,2016.0
Runestone Keeper,Blackfire Games,Blackfire Games,130000,2015-03-23,2019-04-21,2015.0
Cataegis : The White Wind,Kiss,Acido Cinza,130000,2015-09-25,2019-04-21,2015.0
Spaceport Hope,team BitClub,team BitClub,130000,2016-04-16,2019-04-21,2016.0
Dungeons 3,Kalypso Media,Realmforge Studios,130000,2017-10-13,2018-03-03,2017.0
The Turing Test,Square Enix,Bulkhead Interactive,130000,2016-08-30,2019-04-21,2016.0
Super Cuber,Icy Studios,Icy Studios,130000,2017-02-27,2019-04-21,2017.0
Startup Company,Hovgaard Games,Hovgaard Games,130000,2017-08-11,2019-04-21,2017.0
Omega One,StarSystemStudios,StarSystemStudios,130000,2017-02-01,2019-04-21,2017.0
The Deed,GrabTheGames,Pilgrim Adventures,130000,2015-11-24,2019-04-21,2015.0
Asteroid Bounty Hunter,Just1337 Publisher,Just1337 Studio,130000,2016-02-17,2019-04-21,2016.0
Ultimate Marvel vs. Capcom 3,Capcom,Capcom,130000,2017-03-07,2019-04-21,2017.0
Beat Cop,11 bit studios,Pixel Crow,130000,2017-03-30,2019-04-21,2017.0
Delver,Priority Interrupt,Priority Interrupt,130000,2018-02-01,2019-04-21,2018.0
Hand of Fate 2,Defiant Development,Defiant Development,130000,2017-11-07,2019-04-21,2017.0
Battle Ranch: Pigs vs Plants,Playboom,Playboom,130000,2015-02-02,2019-04-21,2015.0
Rogue Port - Blue Nightmare,Sunight Games,Sunight Games,130000,2017-02-20,2019-04-21,2017.0
Super Seducer,RLR Training Inc,RLR Training Inc,130000,2018-03-06,2021-02-15,2018.0
The Jackbox Party Pack 4,Jackbox Games,Jackbox Games,120000,2017-10-19,2019-04-21,2017.0
Attempt[42],ThinkOfGames,ThinkOfGames,120000,2016-12-08,2019-04-21,2016.0
Ni no Kuni II: Revenant Kingdom,Namco Bandai Games,Level 5,120000,2018-03-23,2019-04-21,2018.0
The Curious Expedition,Maschinen-Mensch,Maschinen-Mensch,120000,2016-09-02,2019-04-21,2016.0
Guilty Gear Xrd -Revelator-,Arc System Works,Arc System Works,120000,2016-12-14,2019-04-21,2016.0
Snik,Cleverweek,Cleverweek,120000,2015-09-04,2019-04-21,2015.0
DEADBOLT,Hopoo Games,Hopoo Games,120000,2016-03-14,2019-04-20,2016.0
Linked,ThinkOfGames,ThinkOfGames,120000,2017-02-21,2019-04-20,2017.0
Westerado: Double Barreled,Adult Swim,Ostrich Banditos,120000,2015-04-16,2019-04-20,2015.0
Oceanhorn: Monster of Uncharted Seas,FDG Entertainment,Cornfox & Brothers,120000,2015-03-17,2019-04-20,2015.0
8-Bit Armies,Soedesco,Petroglyph Games,120000,2018-09-21,2018-06-28,2018.0
Hyperdimension Neptunia Re;Birth 3: V Generation,Idea Factory International,Compile Heart,120000,2015-10-30,2018-07-04,2015.0
Deponia Doomsday,Daedalic Entertainment,Daedalic Entertainment,120000,2016-03-01,2018-09-22,2016.0
Dead Age,Headup Games,Silent Dreams,120000,2016-07-14,2019-04-17,2016.0
Dexodonex,Seragam,Seragam,120000,2016-12-08,2019-04-17,2016.0
Three Heroes,Cats Who Play,Cats Who Play,120000,2015-09-17,2019-04-17,2015.0
Drawful 2,Jackbox Games,Jackbox Games,120000,2016-07-21,2019-04-17,2016.0
- Arcane Raise -,WAX Publishing,Arcane Raise,120000,2017-03-10,2019-04-17,2017.0
Overture,Black Shell Media,Black Shell Games,120000,2015-01-01,2019-04-17,2015.0
Puzzle Cube,ThinkOfGames,ThinkOfGames,120000,2016-10-12,2019-04-17,2016.0
Approaching Blocks,Dymchick1,Dymchick1,120000,2016-06-04,2019-04-17,2016.0
Ben and Ed,Sluggerfly,Sluggerfly,120000,2015-12-08,2019-04-17,2015.0
Multimirror,Cleverweek,Cleverweek,120000,2016-11-15,2019-04-17,2016.0
Injustice 2,Warner Bros. Interactive Entertainment,NetherRealm Studios,120000,2017-12-01,2019-04-17,2017.0
The Growth Journey,Cleverweek,Cleverweek,120000,2016-01-07,2019-04-17,2016.0
Senran Kagura Shinovi Versus,Xseed Games,Tamsoft,120000,2016-07-01,2019-04-17,2016.0
Atelier Marie Remake: The Alchemist of Salburg,Koei Tecmo,Koei Tecmo Games,120000,2023-07-13,2023-11-03,2023.0
Blue Reflection: Second Light,Koei Tecmo,Gust,120000,2021-11-09,2022-02-28,2021.0
Fatal Frame: Mask of the Lunar Eclipse,Koei Tecmo,Koei Tecmo Games,120000,2023-03-09,2023-04-28,2023.0
Office Battle,Black Lime Studio,Black Lime Studio,120000,2015-12-02,2019-04-16,2015.0
Attack on Titan / A.O.T. Wings of Freedom,Koei Tecmo,Omega Force,120000,2016-08-26,2019-04-16,2016.0
Emily is Away Too,Kyle Seeley,Kyle Seeley,120000,2017-05-26,2019-04-16,2017.0
Fernbus Simulator,Aerosoft,TML Studios,120000,2016-08-25,2018-09-22,2016.0
N++,Metanet Software Inc.,Metanet Software Inc.,120000,2016-08-25,2019-04-16,2016.0
Out of Reach,Space Boat Studios,Space Boat Studios,120000,2018-07-13,2019-04-10,2018.0
Defend Your Life,Alda Games,Alda Games,120000,2015-04-10,2019-04-10,2015.0
Swiftly,Cleverweek,Cleverweek,120000,2016-01-26,2019-04-10,2016.0
Sudden Strike 4,Kalypso Media,Kite Games,120000,2017-08-15,2018-03-24,2017.0
Akiba's Trip: Undead & Undressed,Xseed Games,Acquire,120000,2015-05-26,2019-04-09,2015.0
Akin,ThinkOfGames,ThinkOfGames,120000,2016-06-06,2019-04-09,2016.0
BADLAND: Game of the Year Edition,Frogmind,Frogmind,120000,2015-05-26,2019-04-08,2015.0
Heaven Forest NIGHTS,Chubby Pixel,Fabio Ferrara,120000,2017-03-13,2019-04-08,2017.0
Shark Attack Deathmatch 2,Lighthouse Games Studio,Lighthouse Games Studio,120000,2015-06-28,2019-04-08,2015.0
Brother Wings,Brogames,Brogames,120000,2017-01-11,2019-04-08,2017.0
Late Shift,Wales Interactive Ltd.,CtrlMovie,110000,2017-04-18,2019-04-08,2017.0
Squirbs,Team Indev,Team Indev,110000,2016-01-06,2019-04-08,2016.0
Sword Art Online: Hollow Realization,Bandai Namco Entertainment,Aquria,110000,2017-10-27,2019-03-22,2017.0
Garden Rescue: Christmas Edition,Rainbow Games,Rainbow Games,110000,2015-11-09,2019-04-08,2015.0
Samorost 3,Amanita Design,Amanita Design,110000,2016-03-24,2019-04-08,2016.0
INK,ZackBellGames,ZackBellGames,110000,2015-08-05,2019-04-07,2015.0
Starpoint Gemini Warlords,Iceberg Interactive,Little Green Men Games,110000,2017-05-23,2019-04-07,2017.0
Farm Together,Milkstone Studios,Milkstone Studios S.L.,110000,2018-10-11,2019-04-07,2018.0
Ice Lakes,Iceflake Studios,Iceflake Studios,110000,2016-04-19,2019-04-07,2016.0
20XX,Batterystaple Games,Batterystaple Games,110000,2017-08-16,2019-04-07,2017.0
Fairyland: Incursion,Naarassusi Publisher,Naarassusi Game,110000,2016-06-22,2019-04-06,2016.0
SHENZHEN I/O,Zachtronics Industries,Zachtronics Industries,110000,2016-11-17,2019-04-06,2016.0
Alter World,Giorgi Abelashvili,Giorgi Abelashvili,110000,2015-05-29,2019-04-06,2015.0
Rebuild 3: Gangs of Deadsville,Northway Games,Northway Games,110000,2015-05-29,2019-04-06,2015.0
HektorRead the review,Meridian4,Rubycone Games,110000,2015-02-20,2019-04-06,2015.0
Cubium Dreams,Siberian Digital,Igrodelsky,110000,2016-04-29,2019-04-06,2016.0
Legends of Eisenwald,Aterdux Entertainment,Aterdux Entertainment,110000,2015-07-02,2019-04-06,2015.0
Crashlands,Butterscotch Shenanigans,Butterscotch Shenanigans,110000,2016-01-21,2019-04-06,2016.0
Fairyland: Fairy Power,Naarassusi Publisher,Naarassusi Game,110000,2016-11-11,2019-04-06,2016.0
Submerged,Uppercut Games Pty Ltd,Uppercut Games,110000,2015-08-04,2019-04-06,2015.0
Intralism,KHB-Soft,KHB-Soft,110000,2016-11-04,2019-04-06,2016.0
12 Labours of Hercules III: Girl Power,Jetdogs Studios,Jetdogs Studios,110000,2015-08-07,2019-04-06,2015.0
Sparkle 3 Genesis,Forever Entertainment S.A.,Forever Entertainment S.A.,110000,2015-04-24,2019-04-06,2015.0
Final Fantasy XII: The Zodiac Age,Square Enix,Square Enix,110000,2018-02-01,2018-09-22,2018.0
Game Corp DX,Endless Loop Studios,Endless Loop Studios,110000,2015-10-02,2019-04-06,2015.0
Tank Blast,Siberian Digital,PowPow,110000,2016-07-13,2019-04-06,2016.0
Staxel,Humble Bundle,Plukit,110000,2018-01-23,2019-04-06,2018.0
UBERMOSH,Walter Machado,Walter Machado,110000,2015-08-13,2019-04-05,2015.0
Blaster Master Zero,Inti Creates,Inti Creates,110000,2017-03-09,2021-02-03,2017.0
Planescape Torment: Enhanced Edition,Beamdog,Beamdog,110000,2017-04-11,2019-04-05,2017.0
The King of Fighters 2002: Unlimited Match,SNK,SNK Corporation,110000,2015-02-27,2019-04-05,2015.0
Hyperdimension Neptunia U: Action Unleashed,Idea Factory International,Compile Heart,110000,2016-03-21,2018-07-03,2016.0
Replica,Somi,Somi,110000,2016-06-11,2019-04-04,2016.0
Sakura Dungeon,Winged Cloud,Winged Cloud,110000,2016-06-03,2019-04-04,2016.0
Vanishing Realms,Indimo Labs LLC,Indimo Labs LLC,110000,2016-04-05,2019-04-04,2016.0
"Cook, Serve, Delicious! 2!!",Vertigo Gaming Inc.,Vertigo Gaming Inc.,110000,2017-09-14,2019-04-04,2017.0
Heroes of Hammerwatch,Crackshell,Crackshell,110000,2018-03-01,2019-04-03,2018.0
Evil Maze,ZOV GAME STUDIO,ZOV GAME STUDIO,110000,2016-06-17,2019-04-03,2016.0
Pixel Puzzles 2: Space,DL Softworks,DL Softworks,110000,2016-02-19,2019-04-03,2016.0
Ace of Words,Ocean Software,ZeroBit Games,110000,2016-05-13,2019-04-03,2016.0
Mighty No. 9Read the review,Deep Silver,Comcept,110000,2016-07-01,2018-07-04,2016.0
Dungeon Souls,Black Shell Media,Lamina Studios,110000,2016-12-02,2019-04-01,2016.0
SimAirport,LVGameDev LLC,LVGameDev LLC,110000,2017-03-07,2019-04-01,2017.0
Cities XXL,Focus Home Interactive,Focus Home Interactive,110000,2015-02-05,2018-09-22,2015.0
QUBIC,Rock Path Collective,Triple-Star Studio,110000,2016-11-18,2019-04-01,2016.0
Alpacapaca Dash,Synnergy Circle Games,Synnergy Circle Games,110000,2017-01-24,2019-04-01,2017.0
Jackal,Peace,Peace,100000,2016-08-21,2019-03-29,2016.0
GRUZCHIK,Unknown,Unknown,100000,2017-03-10,2019-04-01,2017.0
Darkness Assault,Black Lime Studio,Black Lime Studio,100000,2015-02-06,2019-04-01,2015.0
Putrefaction,Kazakov Oleg,Kazakov Oleg,100000,2015-08-07,2019-04-01,2015.0
Monster Prom,Those Awesome Guys,Beautiful Glitch,100000,2018-04-27,2019-04-01,2018.0
Rusty Lake: Roots,Rusty Lake,Rusty Lake,100000,2016-10-20,2019-03-31,2016.0
AXYOS,Axyos Games,Axyos Games,100000,2018-08-01,2019-03-31,2018.0
Albert and Otto,K Bros Games,K Bros Games,100000,2015-10-28,2019-03-27,2015.0
Everything,Double Fine Presents,David OReilly,100000,2017-04-21,2019-03-27,2017.0
Final Fantasy VI,Square Enix,Square Enix,100000,2015-12-16,2019-03-27,2015.0
Orbt XL,Nickervision Studios,Nickervision Studios,100000,2017-04-21,2019-03-27,2017.0
Valhalla Hills,Daedalic Entertainment,Funatics Software,100000,2015-12-02,2019-03-27,2015.0
Midsummer Night,Siberian Digital,Everlasting Fantasy,100000,2016-06-17,2019-03-27,2016.0
Devil Daggers,Sorath,Sorath,100000,2016-02-18,2019-03-27,2016.0
Gloria Victis,Black Eye Games,Black Eye Games,100000,2016-06-09,2019-03-27,2016.0
Bloop Reloaded,Kiss,2SD,100000,2015-02-06,2019-03-27,2015.0
Age of Steel: Recharge,Quaint Emerald,Quaint Emerald,100000,2016-01-06,2019-03-27,2016.0
Homeworld: Deserts of Kharak,Gearbox Publishing,Blackbird Interactive,100000,2016-01-20,2019-03-26,2016.0
Life Beetle,Dagestan Technology,Grizlikyt,100000,2017-04-18,2019-03-26,2017.0
LiEat,AGM Playism,Miwashiba,100000,2016-02-26,2019-03-26,2016.0
Salt,Lavaboots Studios,Lavaboots Studios,100000,2018-02-06,2019-03-26,2018.0
aMAZE,Blender Games,Blender Games,100000,2017-03-14,2019-03-26,2017.0
Knights of Pen and Paper 2,Paradox Interactive,Kyy Games,100000,2015-10-20,2019-03-26,2015.0
BallisticNG,Neognosis,Neognosis,100000,2018-12-14,2019-03-26,2018.0
Space Pirates And Zombies 2,MinMax Games Ltd.,MinMax Games Ltd.,100000,2017-11-07,2019-03-26,2017.0
Deathtrap,NeocoreGames,Neocore Games,100000,2015-02-04,2019-03-26,2015.0
Blackguards 2,Daedalic Entertainment,Daedalic Entertainment,100000,2015-04-01,2018-09-15,2015.0
Rento Fortune - Online Dice Board Game,LAN - GAMES EOOD,LAN - GAMES EOOD,100000,2017-07-14,2019-03-23,2017.0
The Technomancer,Focus Home Interactive,Spiders,100000,2016-06-28,2018-06-27,2016.0
Amnesia: Rebirth,Frictional Games,Frictional Games,100000,2020-10-20,2021-03-17,2020.0
Bullet Girls Phantasia,D3 Publisher,SHADE Inc.,100000,2020-01-17,2020-10-10,2020.0
Gal Gun: Double Peace,PQube,Inti Creates,100000,2016-08-02,2021-01-30,2016.0
God Wars: Future Past,NIS America,Kadokawa Games,100000,2017-06-20,2021-01-24,2017.0
Hellblade: Senua's Sacrifice,Microsoft Studios,Ninja Theory,100000,2018-12-04,2018-11-02,2018.0
Murky Divers,Oro Interactive,Embers,100000,2024-06-19,2024-07-16,2024.0
Pocky & Rocky Reshrined,Natsume Atari,Tengo Project,100000,2022-06-23,2022-07-14,2022.0
Potion Craft: The Alchemist Simulator,TinyBuild Games,niceplay games,100000,2021-09-21,2021-09-28,2021.0
Romance of the Three Kingdoms XIV: Diplomacy and Strategy Expansion Pack,Koei Tecmo,Koei Tecmo Games,100000,2020-12-10,2021-03-05,2020.0
Samurai Warriors 4: Empires,KOEI,Omega Force,100000,2016-03-15,2021-02-07,2016.0
Senran Kagura: Estival Versus,Marvelous Entertainment,Tamsoft,100000,2016-03-15,2021-01-23,2016.0
Senran Kagura: Peach Beach Splash,Xseed Games,Marvelous Entertainment,100000,2017-09-26,2018-06-30,2017.0
Skylanders: Imaginators,Activision,Toys for Bob,100000,2016-10-16,2021-03-18,2016.0
The Idolmaster: Starlit Season,Bandai Namco,"ILCA, Inc.",100000,2021-10-14,2021-10-20,2021.0
Touhou Luna Nights,Vaka Game Magazine,Vaka Game Magazine,100000,2019-02-26,2019-06-24,2019.0
Winning Post 9 2022,Koei Tecmo,Koei Tecmo Games,100000,2022-04-14,2022-08-03,2022.0
World War 3,The Farm 51,The Farm 51,100000,2018-10-20,2019-08-29,2018.0
Yomawari,NIS America,Nippon Ichi Software,100000,2016-10-25,2021-02-03,2016.0
Atelier Shallie: Alchemists of the Dusk Sea,Tecmo Koei,Gust,80000,2015-03-10,2018-11-03,2015.0
Blue Reflection,Koei Tecmo,Gust,80000,2017-09-26,2020-10-17,2017.0
Winning Post 9 2021,Koei Tecmo,Koei Tecmo Games,80000,2021-04-15,2021-07-27,2021.0
Shovel Knight,Yacht Club Games,Yacht Club Games,80000,2015-10-13,2018-11-21,2015.0
Uncharted Waters IV HD Version,Koei Tecmo,Koei Tecmo Games,70000,2021-05-20,2021-07-27,2021.0
Winning Post 10,Koei Tecmo,Koei Tecmo Games,70000,2023-03-30,2023-04-28,2023.0
DUSK,New Blood Interactive,David Szymanski,70000,2018-12-18,2019-01-14,2018.0
The Unspoken,Oculus,Insomniac Games,70000,2016-12-05,2023-12-24,2016.0
Sackboy: A Big Adventure,PlayStation PC,Sumo Digital,60000,2022-10-27,2023-12-22,2022.0
Arslan: The Warriors of Legend,KOEI,Koei Tecmo Games,60000,2016-02-09,2021-02-07,2016.0
Winning Post 10 2024,Koei Tecmo,Koei Tecmo Games,60000,2024-03-28,2024-05-01,2024.0
Brawlout,Merge Games,Angry Mob Games,50000,2018-06-26,2018-02-22,2018.0
Disgaea 7,Nippon Ichi Software,Nippon Ichi Software,50000,2023-01-26,2023-02-10,2023.0
fault - milestone two side:above,Sekai Project,ALICE IN DISSONANCE,50000,2015-09-08,2019-04-04,2015.0
Metal Max Xeno,NIS America,Kadokawa Games,50000,2018-09-25,2021-02-08,2018.0
Monark,FuRyu Corporation,Lancarse,50000,2022-02-22,2021-10-21,2022.0
Monster Boy and the Cursed Kingdom,FDG Entertainment,Game Atelier,50000,2018-12-04,2021-05-22,2018.0
Omega Labyrinth Life,D3 Publisher,Matrix Games,50000,2019-12-10,2020-10-10,2019.0
Senran Kagura Reflexions,Xseed Games,HONEY PARADE GAMES,50000,2018-09-13,2018-10-14,2018.0
VOEZ,PM Studios,Rayark Inc.,50000,2018-08-14,2018-01-28,2018.0
Yomawari: Night Alone,NIS America,Nippon Ichi Software,50000,2016-10-25,2018-06-30,2016.0
Edge of Nowhere,Oculus Studios,Insomniac Games,40000,2016-06-06,2023-12-24,2016.0
Angelique Luminarise,Koei Tecmo,Ruby Party,30000,2021-05-20,2021-07-27,2021.0
Criminal Girls 2: Party Favors,NIS America,Nippon Ichi Software,30000,2016-10-11,2018-01-15,2016.0
Scott Pilgrim vs. the World: The Game - Complete Edition,Ubisoft,Ubisoft,30000,2020-12-01,2020-09-22,2020.0
ToeJam & Earl: Back in the Groove,HumaNature Studios,HumaNature Studios,30000,2019-03-01,2018-01-05,2019.0
City Climber,Ondrej Angelovic,Ondrej Angelovic,20000,2017-02-24,2021-08-16,2017.0
"Guns, Gore & Cannoli",Crazy Monkey,Crazy Monkey Studios,20000,2015-04-30,2018-03-12,2015.0
ToeJam & Earl: Back in the Groove,HumaNature Studios,HumaNature Studios,10000,2019-03-01,2021-09-17,2019.0
Twin Breaker: A Sacred Symbols Adventure,Lillymo Games Inc,Lillymo Games Inc,10000,2020-09-23,2021-02-19,2020.0
Chippy,Facepunch Studios,Facepunch Studios,10000,2019-06-14,2019-12-25,2019.0
Feral Rites,Oculus Studios,Insomniac Games,0,2016-09-13,2023-12-24,2016.0
